abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
fierce, anger,, disgust, fear,,,,, negative,
fiesta,, anticip,,, joy,, surprise, trust,, positive
fight, anger,,, fear,,,,, negative,
fighting, anger,,,,,,,, negative,
filibuster,,,,,,,,, negative,
fill,,,,,,,, trust,,
filth,,, disgust,,,,,, negative,
filthy,,, disgust,,,,,, negative,
finally,, anticip, disgust,, joy,, surprise, trust,, positive
finery,,,,,,,,,, positive
finesse,,,,,,,,,, positive
fire,,,, fear,,,,,,
firearms, anger,,, fear,,,,, negative,
fireball,,,,,,,,,, positive
fireman,,,,,,,, trust,,
fireproof,,,,,,,,,, positive
firmness,,,,,,,, trust,, positive
firstborn,, anticip,,, joy,,, trust,, positive
fits, anger,,,,,,,, negative,
fitting,, anticip,,, joy,,, trust,, positive
fixed,,,,,,,, trust,,
fixture,,,,,,,,,, positive
flabby,,, disgust,,,,,, negative,
flaccid,,,,,, sadness,,, negative,
flagging,,,,,,,,, negative,
flagrant, anger,, disgust,,,,,, negative,
flagship,,,,,,,, trust,,
flake,,,,,,,,, negative,
flange,,,,,,,, trust,,
flap,,,,,,,,, negative,
flattering,,,,, joy,,,,, positive
flatulence,,, disgust,,,,,, negative,
flaunt,,,,,,,,, negative,
flaw,,,,,, sadness,,, negative,
flea,,, disgust,,,,,, negative,
fled,,,, fear,,,,,,
flee,,,, fear,,,,, negative,
fleece, anger,, disgust,,, sadness,,, negative,
fleet,,,,,,,,,, positive
flesh,,, disgust,,,,,,,
fleshy,,,,,,,,, negative,
flexibility,,,,,,,,,, positive
flinch,, anticip, disgust, fear,, sadness, surprise,, negative,
flirt,, anticip,,, joy,, surprise, trust, negative, positive
flog, anger,, disgust, fear,, sadness,,, negative,
flood,,,, fear,,,,,,
flop,,, disgust,,, sadness,,, negative,
floral,,,,,,,,,, positive
flounder,,,, fear,, sadness,,, negative,
flow,,,,,,,,,, positive
flowery,,,,,,,,,, positive
flu,,,, fear,,,,, negative,
fluctuation, anger,,, fear,,,,, negative,
fluke,,,,,,, surprise,,,
flush,,,,,,,,,, positive
flying,,,, fear,,,,,, positive
focus,,,,,,,,,, positive
foe, anger,,, fear,,,,, negative,
foiled,,,,,,,,, negative,
follower,,,,,,,, trust,,
folly,,,,,,,,, negative,
fondness,,,,, joy,,,,, positive
food,,,,, joy,,, trust,, positive
fool,,, disgust,,,,,, negative,
foolish,,,,,,,,, negative,
foolishness,,,,,,,,, negative,
football,, anticip,,, joy,,,,, positive
footing,,,,,,,, trust,,
forage,,,,,,,,, negative,
foray, anger,,,,,,,, negative,
forbearance,,,,,,,,,, positive
forbid,,,,,, sadness,,, negative,
forbidding, anger,,, fear,,,,, negative,
force, anger,,, fear,,,,, negative,
forced,,,, fear,,,,, negative,
forcibly, anger,,, fear,,,,, negative,
fore,,,,,,,,,, positive
forearm, anger, anticip,,,,,,,,
foreboding,, anticip,, fear,,,,, negative,
forecast,, anticip,,,,,, trust,,
foreclose,,,, fear,, sadness,,, negative,
forefathers,,,,, joy,,, trust,, positive
forego,,,,,,,,, negative,
foregoing,,,,,,,,,, positive
foreign,,,,,,,,, negative,
foreigner,,,, fear,,,,, negative,
foreman,,,,,,,,,, positive
forerunner,,,,,,,,,, positive
foresee,, anticip,,,,, surprise, trust,, positive
foreseen,, anticip,,,,,,,, positive
foresight,, anticip,,,,,, trust,, positive
forewarned,, anticip,, fear,,,,, negative,
forfeit, anger,,,,, sadness,,, negative,
forfeited,,,,,,,,, negative,
forfeiture,,,, fear,, sadness,,, negative,
forge,,,,,,,,,, positive
forgery,,,,,,,,, negative,
forget,,,,,,,,, negative,
forgive,,,,,,,,,, positive
forgiven,,,,,,,,,, positive
forgiving,,,,,,,, trust,, positive
forgotten,,,, fear,, sadness,,, negative,
forlorn,,,,,, sadness,,, negative,
formality,,,,,,,, trust,,
formative,,,,,,,, trust,, positive
formidable,,,, fear,,,,,,
forming,, anticip,,,,,,,,
formless,,,,,,,,, negative,
formula,,,,,,,, trust,, positive
fornication,,,,,,,,, negative,
forsake,,,,,, sadness,,, negative,
forsaken, anger,,,,, sadness,,, negative,
fort,,,,,,,, trust,,
forte,,,,,,,,,, positive
forthcoming,,,,,,,,,, positive
fortify,,,,,,,,,, positive
fortitude,,,,, joy,,, trust,, positive
fortress,,,, fear,, sadness,, trust,, positive
fortunate,,,,,,,,,, positive
fortune,, anticip,,, joy,, surprise, trust,, positive
forward,,,,,,,,,, positive
foul, anger,, disgust, fear,,,,, negative,
found,,,,, joy,,, trust,, positive
foundation,,,,,,,,,, positive
fracture,,,,,,,,, negative,
fragile,,,, fear,, sadness,,, negative,
fragrant,,,,,,,,,, positive
frailty,,,,,, sadness,,, negative,
framework,,,,,,,, trust,,
frank,,,,,,,, trust,, positive
frankness,,,,,,,, trust,, positive
frantic,, anticip, disgust, fear,,, surprise,, negative,
fraternal,,,,, joy,,, trust,, positive
fraud, anger,,,,,,,, negative,
fraudulent, anger,, disgust,,,,,, negative,
fraught,,,, fear,, sadness,,, negative,
fray,,,,,,,,, negative,
frayed,,,,,, sadness,,, negative,
freakish,,, disgust, fear,,, surprise,, negative,
freedom,,,,, joy,,, trust,, positive
freely,,,,, joy,,, trust,, positive
freezing,,,,,,,,, negative,
frenetic, anger,,, fear,,, surprise,, negative,
frenzied, anger,,, fear,,,,, negative,
frenzy,,,,,,,,, negative,
fret,,,, fear,,,,, negative,
friction, anger,,,,,,,,,
friend,,,,, joy,,, trust,, positive
friendliness,,,,, joy,,, trust,, positive
friendly,, anticip,,, joy,,, trust,, positive
friendship,,,,, joy,,, trust,, positive
frigate,,,, fear,,,,,,
fright,,,, fear,,, surprise,, negative,
frighten,,,, fear,, sadness, surprise,, negative,
frightened,,,, fear,,, surprise,, negative,
frightful, anger,,, fear,, sadness,,, negative,
frigid,,,,,,,,, negative,
frisky,, anticip,,, joy,, surprise,,, positive
frivolous,,,,,,,,, negative,
frolic,,,,, joy,,,,, positive
frostbite,,,,,,,,, negative,
froth,,,,,,,,, negative,
frown,,,,,, sadness,,, negative,
frowning, anger,, disgust,,, sadness,,, negative,
frugal,,,,,,,,,, positive
fruitful,,,,,,,,,, positive
fruitless,,,,,, sadness,,, negative,
frustrate, anger,, disgust,,, sadness,,, negative,
frustrated, anger,,,,,,,, negative,
frustration, anger,,,,,,,, negative,
fudge,,,,,,,,, negative,
fugitive, anger,, disgust, fear,, sadness,, trust, negative,
fulfill,,,,, joy,,,,, positive
fulfillment,, anticip,,, joy,,, trust,, positive
full,,,,,,,,,, positive
fully,,,,,,,, trust,, positive
fumble,,,,,,,,, negative,
fume,,,,,,,,, negative,
fuming, anger,,,,,,,, negative,
fun,, anticip,,, joy,,,,, positive
fundamental,,,,,,,, trust,, positive
funeral,,,,,, sadness,,,,
fungus,,, disgust,,,,,, negative,
funk,,,,,, sadness,,, negative,
furious, anger,, disgust,,,,,, negative,
furiously, anger,,,,,,,,,
furnace, anger,,,,,,,,,
furor, anger,,,,,,,, negative,
furrow,,,,,, sadness,,,,
fury, anger,,, fear,, sadness,,, negative,
fuse,,,,,,,, trust,, positive
fusion,,,,,,,,,, positive
fuss, anger,,,,, sadness,,, negative,
fussy,,, disgust,,,,,, negative,
futile,,,,,, sadness,,, negative,
futility,,,,,,,,, negative,
gaby,,, disgust,,,,,, negative,
gag,,, disgust,,,,,, negative,
gage,,,,,,,, trust,,
gain,, anticip,,, joy,,,,, positive
gaining,,,,,,,,,, positive
gall, anger,, disgust,,,,,, negative,
gallant,,,,,,,,,, positive
gallantry,,,,,,,,,, positive
gallows, anger,,, fear,, sadness,,, negative,
galore,,,,,,,,,, positive
gamble,,,,,,,,, negative,
gambler,, anticip,,,,, surprise,, negative,
gambling,, anticip,,,,, surprise,, negative,
gang, anger,,, fear,,,,, negative,
gaol,,,,,,,,, negative,
gap,,,,,,,,, negative,
gape,,,,,,, surprise,,,
garbage,,, disgust,,,,,, negative,
garden,,,,, joy,,,,, positive
garish,,, disgust,,,, surprise,, negative,
garnet,,,,,,,,,, positive
garnish,,,,,,,,, negative,
garrison,,,,,,,, trust,, positive
gash,,,, fear,,,,, negative,
gasp,,,,,,, surprise,,,
gasping,,,, fear,,,,, negative,
gate,,,,,,,, trust,,
gateway,,,,,,,, trust,,
gauche,,,,,,,,, negative,
gauging,,,,,,,, trust,,
gaunt,,,,,,,,, negative,
gawk,,,,,,, surprise,,,
gazette,,,,,,,, trust,, positive
gear,,,,,,,,,, positive
gelatin,,, disgust,,,,,,,
gem,,,,, joy,,,,, positive
general,,,,,,,, trust,, positive
generosity,, anticip,,, joy,, surprise, trust,, positive
generous,,,,, joy,,, trust,, positive
genial,,,,, joy,,,,, positive
genius,,,,,,,,,, positive
gent, anger,, disgust, fear,,,,, negative,
genteel,,,,,,,,,, positive
gentleman,,,,,,,, trust,, positive
gentleness,,,,,,,,,, positive
gentry,,,,,,,, trust,, positive
genuine,,,,,,,, trust,, positive
geranium,,,,,,,,,, positive
geriatric,,,,,, sadness,,, negative,
germ,, anticip, disgust,,,,,,,
germination,, anticip,,,,,,,,
ghastly,,, disgust, fear,,,,, negative,
ghetto,,, disgust, fear,, sadness,,, negative,
ghost,,,, fear,,,,,,
ghostly,,,, fear,,,,, negative,
giant,,,, fear,,,,,,
gibberish, anger,,,,,,,, negative,
gift,, anticip,,, joy,, surprise,,, positive
gifted,,,,,,,,,, positive
gigantic,,,,,,,,,, positive
giggle,,,,, joy,,,,, positive
girder,,,,,,,, trust,, positive
giving,,,,,,,,,, positive
glacial,,,,,,,,, negative,
glad,, anticip,,, joy,,,,, positive
gladiator,,,, fear,,,,,,
gladness,,,,, joy,,,,, positive
glare, anger,,, fear,,,,, negative,
glaring, anger,,,,,,,, negative,
glee,,,,, joy,,,,, positive
glib,,,,,,,,, negative,
glide,, anticip,,, joy,,,,, positive
glimmer,, anticip,,, joy,, surprise,,, positive
glitter,,, disgust,, joy,,,,,
glittering,,,,,,,,,, positive
gloom,,,,,, sadness,,, negative,
gloomy,,,,,, sadness,,, negative,
glorification,,,,, joy,,,,, positive
glorify,, anticip,,, joy,, surprise, trust,, positive
glory,, anticip,,, joy,,, trust,, positive
gloss,,,,,,,,,, positive
glow,, anticip,,, joy,,, trust,, positive
glowing,,,,,,,,,, positive
glum,,,,,, sadness,,, negative,
glut,,, disgust,,,,,, negative,
gluttony,,, disgust,,,,,, negative,
gnome, anger,, disgust, fear,,,,, negative,
gob,,, disgust,,,,,,,
goblin,,, disgust, fear,,,,, negative,
god,, anticip,, fear, joy,,, trust,, positive
godless, anger,,,,,,,, negative,
godly,,,,, joy,,, trust,, positive
godsend,,,,, joy,, surprise,,, positive
gold,,,,,,,,,, positive
gonorrhea, anger,, disgust, fear,, sadness,,, negative,
goo,,, disgust,,,,,, negative,
good,, anticip,,, joy,, surprise, trust,, positive
goodly,,,,,,,,,, positive
goodness,, anticip,,, joy,, surprise, trust,, positive
goods,,,,,,,,,, positive
goodwill,,,,,,,,,, positive
gore, anger,, disgust, fear,, sadness,,, negative,
gorge,,, disgust,,,,,, negative,
gorgeous,,,,, joy,,,,, positive
gorilla,,,,,,,,, negative,
gory, anger,, disgust, fear,, sadness,,, negative,
gospel,,,,,,,, trust,, positive
gossip,,,,,,,,, negative,
gouge,,,,,,,,, negative,
gout,,,,,,,,, negative,
govern,,,,,,,, trust,, positive
governess,,,,,,,, trust,,
government,,,, fear,,,,, negative,
governor,,,,,,,, trust,,
grab, anger,,,,,,,, negative,
grace,,,,,,,,,, positive
graceful,,,,,,,,,, positive
gracious,,,,,,,,,, positive
graciously,,,,,,,,,, positive
gradual,, anticip,,,,,,,,
graduation,, anticip,, fear, joy,, surprise, trust,, positive
grammar,,,,,,,, trust,,
grandchildren,, anticip,,, joy,,, trust,, positive
grandeur,,,,,,,,,, positive
grandfather,,,,,,,, trust,,
grandmother,,,,,,,,,, positive
grant,, anticip,,, joy,,, trust,, positive
granted,,,,,,,,,, positive
grasping,, anticip,,,,,,, negative,
grate,,,,,,,,, negative,
grated, anger,,,,,,,, negative,
grateful,,,,,,,,,, positive
gratify,,,,, joy,, surprise,,, positive
grating, anger,, disgust,,,,,, negative,
gratitude,,,,, joy,,,,, positive
gratuitous,,, disgust,,,,,,,
grave,,,, fear,, sadness,,, negative,
gravitate,, anticip,,,,,,,,
gray,,, disgust,,, sadness,,,,
greasy,,, disgust,,,,,,,
greater,,,,,,,,,, positive
greatness,,,,, joy,, surprise, trust,, positive
greed, anger,, disgust,,,,,, negative,
greedy,,, disgust,,,,,, negative,
green,,,,, joy,,, trust,, positive
greeting,,,,,,, surprise,,, positive
gregarious,,,,,,,,,, positive
grenade,,,, fear,,,,, negative,
grief,,,,,, sadness,,, negative,
grievance, anger,, disgust,,, sadness,,, negative,
grieve,,,, fear,, sadness,,, negative,
grievous, anger,,, fear,, sadness,,, negative,
grim, anger, anticip, disgust, fear,, sadness,,, negative,
grime,,, disgust,,,,,, negative,
grimy,,, disgust,,,,,, negative,
grin,, anticip,,, joy,, surprise, trust,, positive
grinding,,,,,,,,, negative,
grisly,,, disgust, fear,,,,, negative,
grist,,,,,,,,,, positive
grit,,,,,,,, trust,, positive
grizzly,,,, fear,,,,, negative,
groan,,, disgust,,, sadness,,, negative,
grope, anger,, disgust, fear,,,,, negative,
gross,,, disgust,,,,,, negative,
grotesque,,, disgust,,,,,, negative,
ground,,,,,,,, trust,,
grounded,,,, fear,, sadness,,, negative,
groundless,,,,,,,,, negative,
groundwork,,,,,,,,,, positive
grow,, anticip,,, joy,,, trust,, positive
growl, anger,,, fear,,,,, negative,
growling, anger,, disgust, fear,,,,, negative,
growth,,,,,,,,,, positive
grudge, anger,,,,,,,, negative,
grudgingly,,,,,,,,, negative,
gruesome,,, disgust,,,,,, negative,
gruff, anger,, disgust,,,,,, negative,
grumble, anger,, disgust,,,,,, negative,
grumpy, anger,, disgust,,, sadness,,, negative,
guarantee,,,,,,,, trust,, positive
guard,,,, fear,,,, trust,, positive
guarded,,,,,,,, trust,,
guardian,,,,,,,, trust,, positive
guardianship,,,,,,,, trust,, positive
gubernatorial,,,,,,,, trust,, positive
guerilla,,,, fear,,,,, negative,
guess,,,,,,, surprise,,,
guidance,,,,,,,, trust,, positive
guide,,,,,,,, trust,, positive
guidebook,,,,,,,, trust,, positive
guile,,,,,,,,, negative,
guillotine, anger, anticip, disgust, fear,, sadness,,, negative,
guilt,,, disgust,,, sadness,,, negative,
guilty, anger,,,,, sadness,,, negative,
guise,,,,,,,,, negative,
gull,,,,,,,,, negative,
gullible,,,,,, sadness,, trust, negative,
gulp,,,, fear,,, surprise,,,
gun, anger,,, fear,,,,, negative,
gunpowder,,,, fear,,,,,,
guru,,,,,,,, trust,, positive
gush,,, disgust,, joy,,,, negative,
gusset,,,,,,,, trust,,
gut,,, disgust,,,,,,,
guts,,,,,,,,,, positive
gutter,,, disgust,,,,,,,
guzzling,,,,,,,,, negative,
gymnast,,,,,,,,,, positive
gypsy,,,,,,,,, negative,
habitat,,,,,,,,,, positive
habitual,, anticip,,,,,,,,
hag,,, disgust, fear,,,,, negative,
haggard,,,,,, sadness,,, negative,
hail,,,,,,,, trust, negative, positive
hairy,,, disgust,,,,,, negative,
hale,,,,,,,,,, positive
halfway,,,,,,,,, negative,
hallucination,,,, fear,,,,, negative,
halter, anger,,, fear,, sadness,,, negative,
halting,,,, fear,, sadness,,, negative,
hamper,,,,,,,,, negative,
hamstring, anger,,,,, sadness,,, negative,
handbook,,,,,,,, trust,,
handicap,,,,,, sadness,,, negative,
handy,,,,,,,,,, positive
hanging, anger,, disgust, fear,, sadness,,, negative,
hangman,,,, fear,,,,, negative,
hankering,, anticip,,,,,,,,
hap,, anticip,,,,, surprise,,,
happen,, anticip,,,,,,,,
happily,,,,, joy,,,,, positive
happiness,, anticip,,, joy,,,,, positive
happy,, anticip,,, joy,,, trust,, positive
harass, anger,, disgust,,,,,, negative,
harassing, anger,,,,,,,,,
harbinger, anger, anticip,, fear,,,,, negative,
harbor,,,,,,,, trust,,
hardened, anger,, disgust, fear,,,,, negative,
hardness,,,,,,,,, negative,
hardship,,,,,, sadness,,, negative,
hardy,,,,, joy,,, trust,, positive
harlot,,, disgust,,,,,, negative,
harm,,,, fear,,,,, negative,
harmful, anger,, disgust, fear,, sadness,,, negative,
harmoniously,,,,, joy,,, trust,, positive
harmony,,,,, joy,,, trust,, positive
harrowing,,,, fear,,,,, negative,
harry, anger,,,,, sadness,,, negative,
harshness, anger,,, fear,,,,, negative,
harvest,, anticip,,, joy,,,,, positive
hash,,,,,,,,, negative,
hashish,,,,,,,,, negative,
haste,, anticip,,,,,,,,
hasty,,,,,,,,, negative,
hate, anger,, disgust, fear,, sadness,,, negative,
hateful, anger,, disgust, fear,, sadness,,, negative,
hating, anger,,,,,,,, negative,
hatred, anger,, disgust, fear,, sadness,,, negative,
haughty, anger,,,,,,,, negative,
haunt,,,, fear,,,,, negative,
haunted,,,, fear,, sadness,,, negative,
haven,,,,,,,, trust,, positive
havoc, anger,,, fear,,,,, negative,
hawk,,,, fear,,,,,,
hazard,,,, fear,,,,, negative,
hazardous,,,, fear,,,,, negative,
haze,,,, fear,,,,, negative,
headache,,,,,,,,, negative,
headlight,, anticip,,,,,,,,
headway,,,,,,,,,, positive
heady,,,,,,,,, negative,
heal,,,,, joy,,, trust,, positive
healing,, anticip,,, joy,,, trust,, positive
healthful,,,,, joy,,,,, positive
healthy,,,,,,,,,, positive
hearing,,,, fear,,,,, negative,
hearsay,,,,,,,,, negative,
hearse,,,, fear,, sadness,,, negative,
heartache,,,,,, sadness,,, negative,
heartburn,,,,,,,,, negative,
heartfelt,,,,, joy, sadness,, trust,, positive
hearth,,,,,,,,,, positive
heartily,,,,, joy,,,,, positive
heartless,,,,,, sadness,,, negative,
heartworm,,, disgust,,,,,,,
heathen,,,, fear,,,,, negative,
heavenly,, anticip,,, joy,,, trust,, positive
heavens,,,,, joy,,, trust,, positive
heavily,,,,,,,,, negative,
hedonism,,,,, joy,,,, negative, positive
heel,,,,,,,,, negative,
heft,, anticip,, fear,,,,,, positive
heighten,,,, fear,,,,, negative,
heinous,,,,,,,,, negative,
hell, anger,, disgust, fear,, sadness,,, negative,
hellish, anger,, disgust, fear,, sadness,,, negative,
helmet,,,, fear,,,,,, positive
helper,,,,,,,, trust,, positive
helpful,,,,, joy,,, trust,, positive
helpless,,,, fear,, sadness,,, negative,
helplessness,,,, fear,, sadness,,, negative,
hemorrhage,,, disgust, fear,, sadness,,, negative,
hemorrhoids,,,,,,,,, negative,
herbal,,,,,,,,,, positive
heresy,,,,,,,,, negative,
heretic,,, disgust,,,,,, negative,
heritage,,,,,,,, trust,,
hermaphrodite,,,,,,, surprise,, negative,
hermit,,,,,, sadness,, trust,,
hero,, anticip,,, joy,, surprise, trust,, positive
heroic,,,,, joy,, surprise, trust,, positive
heroics,,,,,,,,,, positive
heroin,,,,,,,,, negative,
heroine,,,,,,,, trust,, positive
heroism,, anticip,,, joy,, surprise, trust,, positive
herpes,,, disgust,,,,,, negative,
herpesvirus,,, disgust,,,,,, negative,
hesitation,,,, fear,,,,, negative,
heyday,, anticip,,, joy,,, trust,, positive
hidden,,,,,,,,, negative,
hide,,,, fear,,,,,,
hideous,,, disgust, fear,, sadness,,, negative,
hiding,,,, fear,,,,,,
highest,, anticip,, fear, joy,, surprise,, negative, positive
hilarious,,,,, joy,, surprise,,, positive
hilarity,,,,, joy,,,,, positive
hindering,,,,,, sadness,,, negative,
hindrance,,,,,,,,, negative,
hippie,,,,,,,,, negative,
hire,, anticip,,, joy,,, trust,, positive
hiss, anger,,, fear,,,,, negative,
hissing,,,,,,,,, negative,
hit, anger,,,,,,,, negative,
hitherto,,,,,,,,, negative,
hive,,,,,,,,, negative,
hoarse,,,,,,,,, negative,
hoary,,,,,, sadness,,, negative,
hoax, anger,, disgust,,, sadness, surprise,, negative,
hobby,,,,, joy,,,,, positive
hobo,,,,,, sadness,,, negative,
hog,,, disgust,,,,,, negative,
holiday,, anticip,,, joy,,,,, positive
holiness,, anticip,, fear, joy,, surprise, trust,, positive
hollow,,,,,, sadness,,, negative,
holocaust, anger,, disgust, fear,, sadness,,, negative,
holy,,,,,,,,,, positive
homage,,,,,,,,,, positive
homeless, anger, anticip, disgust, fear,, sadness,,, negative,
homesick,,,,,, sadness,,, negative,
homework,,,, fear,,,,,,
homicidal, anger,,, fear,,,,, negative,
homicide, anger,, disgust, fear,, sadness,,, negative,
homology,,,,,,,,,, positive
homosexuality,,,,,,,,, negative,
honest, anger,, disgust, fear, joy, sadness,, trust,, positive
